# gene	selection_category	cell_type	development_score
EPCAM	curated		
KRT8	curated		
KRT19	curated		
KRT14	curated		
KRT5	curated		
MSLN	curated		
MUC1	curated		
MUCL1	curated		
ERBB2	curated		
ESR1	curated		
PGR	curated		
MKI67	curated		
TOP2A	curated		
PCNA	curated		
COL1A1	curated		
COL1A2	curated		
COL3A1	curated		
DCN	curated		
LUM	curated		
COL6A1	curated		
ACTA2	curated		
TAGLN	curated		
MYH11	curated		
RGS5	curated		
CSPG4	curated		
PECAM1	curated		
VWF	curated		
EMCN	curated		
KDR	curated		
ENG	curated		
CD3D	curated		
CD3E	curated		
TRBC1	curated		
CD4	curated		
CD8A	curated		
NKG7	curated		
GNLY	curated		
GZMB	curated		
MS4A1	curated		
CD79A	curated		
CD37	curated		
CD74	curated		
MZB1	curated		
JCHAIN	curated		
CD68	curated		
CD14	curated		
LYZ	curated		
C1QA	curated		
C1QB	curated		
C1QC	curated		
FCGR3A	curated		
S100A8	curated		
S100A9	curated		
KIT	curated		
B2M	curated		
STAT1	curated		
ISG15	curated		
IFIT1	curated		
IFIT3	curated		
MX1	curated		
CXCL10	curated		
VEGFA	curated		
CA9	curated		
HIF1A	curated		
TGFB1	curated		
FN1	curated		
SPARC	curated		
VIM	curated		
CDH1	curated		
ACTB	curated		
IGKC	level1_marker	B	4.45474429
CPA3	level1_marker	Granulocyte	4.285528996
CTSB	level1_marker	Myeloid	2.666537726
COL6A2	level1_marker	Stroma	3.074333279
CXCR4	level1_marker	T_NK	1.686478816
AZGP1	level1_marker	Tumor_Breast	3.24173221
IGHG1	level1_marker	B	4.247603725
IL1RL1	level1_marker	Granulocyte	2.811341659
APOE	level1_marker	Myeloid	2.267207871
COL6A3	level1_marker	Stroma	2.715822219
IL7R	level1_marker	T_NK	1.581804783
APOD	level1_marker	Tumor_Breast	3.15338392
TXNDC5	level1_marker	B	1.915257958
SLC18A2	level1_marker	Granulocyte	2.676109126
SAT1	level1_marker	Myeloid	2.135628061
POSTN	level1_marker	Stroma	2.367139437
ARHGEF1	level1_marker	T_NK	1.564086334
FASN	level1_marker	Tumor_Breast	3.084459725
DERL3	level1_marker	B	1.809098104
VWA5A	level1_marker	Granulocyte	2.561099614
MS4A6A	level1_marker	Myeloid	1.975774804
CCN2	level1_marker	Stroma	2.36048486
AKNA	level1_marker	T_NK	1.515939261
KRT7	level1_marker	Tumor_Breast	2.492398547
XBP1	level1_marker	B	1.744238979
ALOX5	level1_marker	Granulocyte	2.379727931
MS4A7	level1_marker	Myeloid	1.88806263
AEBP1	level1_marker	Stroma	2.3300756
BTG1	level1_marker	T_NK	1.429860713
FABP7	level1_marker	Tumor_Breast	2.491729275
ITM2C	level1_marker	B	1.602354548
GATA2	level1_marker	Granulocyte	2.20686642
CD163	level1_marker	Myeloid	1.851191139
THBS2	level1_marker	Stroma	2.269230398
IKZF1	level1_marker	T_NK	1.424070481
ALDH3B2	level1_marker	Tumor_Breast	2.293613862
TENT5C	level1_marker	B	1.531453012
RGS1	level1_marker	Granulocyte	2.118986625
CTSZ	level1_marker	Myeloid	1.686380931
COL5A1	level1_marker	Stroma	2.007626268
CD96	level1_marker	T_NK	1.38414815
