donor_id	block_id	capture_id	image_basename	alignment_basename	spaceranger_sample	snrna_fastq_count	metadata_match_status	issue_relationship	issue_relationship_issue
Br2720	mid	V10U24-091_B1	V10U24-091_B1_Br2720_DLPFC_mid_2.tif	V10U24-091-B1_Br2770_mid.json	DLPFC_Br2720_mid_manual_alignment	4	candidate_exact_block_unqualified	same_block	alignment_filename_says_Br2770_requires_resolution
Br2720	post	V10U24-091_C1	V10U24-091_C1_Br2720_DLPFC_post_3.tif	V10U24-091-C1_Br2770_post.json	DLPFC_Br2720_post_extra_reads	8	candidate_exact_block_unqualified	same_block	alignment_filename_says_Br2770_requires_resolution
Br2743	ant	V19B23-075_A1	Liebert_Institute_OTS-20-7690_rush_anterior_1.tif	V19B23-075-A1_1_Br2743_ant_manual_alignment.json	DLPFC_Br2743_ant_manual_alignment	8	candidate_exact_block_unqualified	same_block	none
Br2743	mid	V19B23-074_A1	Liebert_Institute_OTS-20-7748_rush-001_mid_1.tif	V19B23-074-A1_5_Br2743_mid_manual_alignment.json	DLPFC_Br2743_mid_manual_alignment_extra_reads	4	candidate_exact_block_unqualified	same_block	none
Br3942	ant	V19B23-075_B1	Liebert_Institute_OTS-20-7690_rush_anterior_2.tif	V19B23-075-B1_2_Br3942_ant_manual_alignment.json	DLPFC_Br3942_ant_manual_alignment	8	candidate_exact_block_unqualified	same_block	none
Br3942	mid	V19B23-074_B1	Liebert_Institute_OTS-20-7748_rush-001_mid_2.tif	V19B23-074-B1_6_Br3942_mid_manual_alignment.json	DLPFC_Br3942_mid_manual_alignment	8	candidate_exact_block_unqualified	same_block	none
Br6423	ant	V19B23-075_C1	Liebert_Institute_OTS-20-7690_rush_anterior_3.tif	V19B23-075-C1_3_Br6423_ant_manual_alignment.json	DLPFC_Br6423_ant_manual_alignment_extra_reads	8	candidate_exact_block_unqualified	same_block	none
Br6423	post	V19B23-073_C1	Liebert_Institute_OTS-20-7748_rush_posterior_3.tif	V19B23-073-C1_11_Br6423_post_manual_alignment.json	DLPFC_Br6423_post_extra_reads	8	candidate_exact_block_unqualified	same_block	none
Br6432	ant	V10B01-002_B1	V10B01-002_B1_Br6432_ant_DLPFC.tif	V10B01-002-B1.json	DLPFC_Br6432_ant_2	4	candidate_exact_block_unqualified	same_block	none
Br6471	ant	V10U24-094_A1	1000140_dlpfc_ant_round3_A1.tif	V10U24-094-A1_Br6471_ant.json	DLPFC_Br6471_ant_manual_alignment_all	4	candidate_exact_block_unqualified	same_block	none
Br6471	mid	V10B01-052_A1	1000145_dlpfc_mid_round3_A1.tif	V10B01-052-A1_Br6471_mid.json	DLPFC_Br6471_mid_manual_alignment_all	8	candidate_exact_block_unqualified	same_block	none
Br6522	mid	V10B01-052_B1	1000145_dlpfc_mid_round3_B1.tif	V10B01-052-B1_Br6522_mid.json	DLPFC_Br6522_mid_manual_alignment_all	8	candidate_exact_block_unqualified	same_block	none
Br6522	post	V10B01-053_B1	1000146_dlpfc_post_round3_B1.tif	V10B01-053-B1_Br6522_post.json	DLPFC_Br6522_post_manual_alignment_all	8	candidate_exact_block_unqualified	same_block	none
Br8325	ant	V10U24-094_C1	1000140_dlpfc_ant_round3_C1.tif	V10U24-094-C1_Br8325_ant.json	DLPFC_Br8325_ant_manual_alignment_all	8	candidate_exact_block_unqualified	same_block	none
Br8325	mid	V10B01-002_C1	V10B01-002_C1_Br8325_mid_DLPFC.tif	V10B01-002-C1.json	DLPFC_Br8325_mid_2	8	candidate_exact_block_unqualified	same_block	none
Br8492	mid	V19B23-074_D1	Liebert_Institute_OTS-20-7748_rush-001_mid_4.tif	V19B23-074-D1_8_Br8492_mid_manual_alignment.json	DLPFC_Br8492_mid_manual_alignment_extra_reads	8	candidate_exact_block_unqualified	same_block	none
Br8492	post	V19B23-073_D1	Liebert_Institute_OTS-20-7748_rush_posterior_4.tif	V19B23-073-D1_12_Br8492_post_manual_alignment.json	DLPFC_Br8492_post_manual_alignment	8	candidate_exact_block_unqualified	same_block	none
Br8667	ant	V10U24-094_D1	1000140_dlpfc_ant_round3_D1.tif	V10U24-094-D1_Br8667_ant.json	DLPFC_Br8667_ant_extra_reads	8	candidate_exact_block_unqualified	same_block	none
Br8667	mid	V10B01-052_D1	1000145_dlpfc_mid_round3_D1.tif	V10B01-052-D1_Br8667_mid.json	DLPFC_Br8667_mid_manual_alignment_all	8	candidate_exact_block_unqualified	same_block	none
